freq_hz,period_s,power_ms2hz,tier
4.73235294e-05,2.1131e+04,2.063097e+08,circadian
4.74480601e-05,2.1076e+04,2.030000e+08,circadian
4.75725907e-05,2.1021e+04,1.994761e+08,circadian
4.76971214e-05,2.0966e+04,1.957517e+08,circadian
4.78216521e-05,2.0911e+04,1.918414e+08,circadian
4.79461827e-05,2.0857e+04,1.877606e+08,circadian
4.80707134e-05,2.0803e+04,1.835253e+08,circadian
4.81952441e-05,2.0749e+04,1.791520e+08,circadian
4.83197747e-05,2.0695e+04,1.746576e+08,circadian
4.84443054e-05,2.0642e+04,1.700595e+08,circadian
4.85688360e-05,2.0589e+04,1.653750e+08,circadian
4.86933667e-05,2.0537e+04,1.606218e+08,circadian
4.88178974e-05,2.0484e+04,1.558175e+08,circadian
4.89424280e-05,2.0432e+04,1.509798e+08,circadian
4.90669587e-05,2.0380e+04,1.461263e+08,circadian
4.91914894e-05,2.0329e+04,1.412745e+08,circadian
4.93160200e-05,2.0277e+04,1.364416e+08,circadian
4.94405507e-05,2.0226e+04,1.316447e+08,circadian
4.95650814e-05,2.0175e+04,1.269005e+08,circadian
4.96896120e-05,2.0125e+04,1.222253e+08,circadian
4.98141427e-05,2.0075e+04,1.176350e+08,circadian
4.99386733e-05,2.0025e+04,1.131452e+08,circadian
5.00632040e-05,1.9975e+04,1.087706e+08,circadian
5.01877347e-05,1.9925e+04,1.045254e+08,circadian
5.03122653e-05,1.9876e+04,1.004233e+08,circadian
5.04367960e-05,1.9827e+04,9.647687e+07,circadian
5.05613267e-05,1.9778e+04,9.269817e+07,circadian
5.06858573e-05,1.9729e+04,8.909820e+07,circadian
5.08103880e-05,1.9681e+04,8.568705e+07,circadian
5.09349186e-05,1.9633e+04,8.247380e+07,circadian
5.10594493e-05,1.9585e+04,7.946648e+07,circadian
5.11839800e-05,1.9537e+04,7.667203e+07,circadian
5.13085106e-05,1.9490e+04,7.409629e+07,circadian
5.14330413e-05,1.9443e+04,7.174395e+07,circadian
5.15575720e-05,1.9396e+04,6.961857e+07,circadian
5.16821026e-05,1.9349e+04,6.772257e+07,circadian
5.18066333e-05,1.9303e+04,6.605724e+07,circadian
5.19311640e-05,1.9256e+04,6.462278e+07,circadian
5.20556946e-05,1.9210e+04,6.341829e+07,circadian
5.21802253e-05,1.9164e+04,6.244187e+07,circadian
5.23047559e-05,1.9119e+04,6.169060e+07,circadian
5.24292866e-05,1.9073e+04,6.116065e+07,circadian
5.25538173e-05,1.9028e+04,6.084731e+07,circadian
5.26783479e-05,1.8983e+04,6.074503e+07,circadian
5.28028786e-05,1.8938e+04,6.084754e+07,circadian
5.29274093e-05,1.8894e+04,6.114787e+07,circadian
5.30519399e-05,1.8849e+04,6.163842e+07,circadian
5.31764706e-05,1.8805e+04,6.231105e+07,circadian
5.33010013e-05,1.8761e+04,6.315712e+07,circadian
5.34255319e-05,1.8718e+04,6.416756e+07,circadian
5.35500626e-05,1.8674e+04,6.533294e+07,circadian
5.36745932e-05,1.8631e+04,6.664350e+07,circadian
5.37991239e-05,1.8588e+04,6.808923e+07,circadian
5.39236546e-05,1.8545e+04,6.965989e+07,circadian
5.40481852e-05,1.8502e+04,7.134511e+07,circadian
5.41727159e-05,1.8459e+04,7.313436e+07,circadian
5.42972466e-05,1.8417e+04,7.501704e+07,circadian
5.44217772e-05,1.8375e+04,7.698250e+07,circadian
5.45463079e-05,1.8333e+04,7.902008e+07,circadian
5.46708385e-05,1.8291e+04,8.111912e+07,circadian
5.47953692e-05,1.8250e+04,8.326901e+07,circadian
5.49198999e-05,1.8208e+04,8.545924e+07,circadian
5.50444305e-05,1.8167e+04,8.767935e+07,circadian
5.51689612e-05,1.8126e+04,8.991903e+07,circadian
5.52934919e-05,1.8085e+04,9.216814e+07,circadian
5.54180225e-05,1.8045e+04,9.441668e+07,circadian
5.55425532e-05,1.8004e+04,9.665489e+07,circadian
5.56670839e-05,1.7964e+04,9.887323e+07,circadian
5.57916145e-05,1.7924e+04,1.010624e+08,circadian
5.59161452e-05,1.7884e+04,1.032135e+08,circadian
5.60406758e-05,1.7844e+04,1.053179e+08,circadian
5.61652065e-05,1.7805e+04,1.073673e+08,circadian
5.62897372e-05,1.7765e+04,1.093539e+08,circadian
5.64142678e-05,1.7726e+04,1.112702e+08,circadian
5.65387985e-05,1.7687e+04,1.131095e+08,circadian
5.66633292e-05,1.7648e+04,1.148653e+08,circadian
5.67878598e-05,1.7609e+04,1.165320e+08,circadian
5.69123905e-05,1.7571e+04,1.181044e+08,circadian
5.70369212e-05,1.7533e+04,1.195779e+08,circadian
5.71614518e-05,1.7494e+04,1.209489e+08,circadian
5.72859825e-05,1.7456e+04,1.222143e+08,circadian
