ts,STAGE,datetime,stage_label,datetime_local
1734062520,4,2024-12-13 04:02:00,Deep,2024-12-13 05:02
1734063000,3,2024-12-13 04:10:00,Light,2024-12-13 05:10
1734063540,2,2024-12-13 04:19:00,REM,2024-12-13 05:19
1734064080,3,2024-12-13 04:28:00,Light,2024-12-13 05:28
1734065040,4,2024-12-13 04:44:00,Deep,2024-12-13 05:44
1734065340,2,2024-12-13 04:49:00,REM,2024-12-13 05:49
1734067020,3,2024-12-13 05:17:00,Light,2024-12-13 06:17
1734068940,4,2024-12-13 05:49:00,Deep,2024-12-13 06:49
1734069240,2,2024-12-13 05:54:00,REM,2024-12-13 06:54
1734070620,3,2024-12-13 06:17:00,Light,2024-12-13 07:17
1734072420,4,2024-12-13 06:47:00,Deep,2024-12-13 07:47
1734072840,3,2024-12-13 06:54:00,Light,2024-12-13 07:54
1734136500,3,2024-12-14 00:35:00,Light,2024-12-14 01:35
1734138300,4,2024-12-14 01:05:00,Deep,2024-12-14 02:05
1734138360,4,2024-12-14 01:06:00,Deep,2024-12-14 02:06
1734138420,4,2024-12-14 01:07:00,Deep,2024-12-14 02:07
1734138480,4,2024-12-14 01:08:00,Deep,2024-12-14 02:08
1734138540,4,2024-12-14 01:09:00,Deep,2024-12-14 02:09
1734138600,4,2024-12-14 01:10:00,Deep,2024-12-14 02:10
1734140160,4,2024-12-14 01:36:00,Deep,2024-12-14 02:36
1734140640,3,2024-12-14 01:44:00,Light,2024-12-14 02:44
1734141840,4,2024-12-14 02:04:00,Deep,2024-12-14 03:04
1734142020,3,2024-12-14 02:07:00,Light,2024-12-14 03:07
1734142320,4,2024-12-14 02:12:00,Deep,2024-12-14 03:12
1734142440,4,2024-12-14 02:14:00,Deep,2024-12-14 03:14
1734143460,4,2024-12-14 02:31:00,Deep,2024-12-14 03:31
1734143580,2,2024-12-14 02:33:00,REM,2024-12-14 03:33
1734143760,4,2024-12-14 02:36:00,Deep,2024-12-14 03:36
1734144480,2,2024-12-14 02:48:00,REM,2024-12-14 03:48
1734144600,3,2024-12-14 02:50:00,Light,2024-12-14 03:50
1734144840,3,2024-12-14 02:54:00,Light,2024-12-14 03:54
1734145020,3,2024-12-14 02:57:00,Light,2024-12-14 03:57
1734145080,3,2024-12-14 02:58:00,Light,2024-12-14 03:58
1734145200,3,2024-12-14 03:00:00,Light,2024-12-14 04:00
1734145560,4,2024-12-14 03:06:00,Deep,2024-12-14 04:06
1734145920,3,2024-12-14 03:12:00,Light,2024-12-14 04:12
1734146280,2,2024-12-14 03:18:00,REM,2024-12-14 04:18
1734146460,4,2024-12-14 03:21:00,Deep,2024-12-14 04:21
1734146700,2,2024-12-14 03:25:00,REM,2024-12-14 04:25
1734146880,4,2024-12-14 03:28:00,Deep,2024-12-14 04:28
1734147000,3,2024-12-14 03:30:00,Light,2024-12-14 04:30
1734147120,4,2024-12-14 03:32:00,Deep,2024-12-14 04:32
1734147180,4,2024-12-14 03:33:00,Deep,2024-12-14 04:33
1734147300,4,2024-12-14 03:35:00,Deep,2024-12-14 04:35
1734148440,4,2024-12-14 03:54:00,Deep,2024-12-14 04:54
1734148500,3,2024-12-14 03:55:00,Light,2024-12-14 04:55
1734148560,4,2024-12-14 03:56:00,Deep,2024-12-14 04:56
1734149040,4,2024-12-14 04:04:00,Deep,2024-12-14 05:04
1734149400,2,2024-12-14 04:10:00,REM,2024-12-14 05:10
1734151800,3,2024-12-14 04:50:00,Light,2024-12-14 05:50
1734151860,3,2024-12-14 04:51:00,Light,2024-12-14 05:51
1734151980,3,2024-12-14 04:53:00,Light,2024-12-14 05:53
1734152040,3,2024-12-14 04:54:00,Light,2024-12-14 05:54
1734152100,3,2024-12-14 04:55:00,Light,2024-12-14 05:55
1734152160,3,2024-12-14 04:56:00,Light,2024-12-14 05:56
1734152280,3,2024-12-14 04:58:00,Light,2024-12-14 05:58
1734152640,3,2024-12-14 05:04:00,Light,2024-12-14 06:04
1734152880,4,2024-12-14 05:08:00,Deep,2024-12-14 06:08
1734153300,4,2024-12-14 05:15:00,Deep,2024-12-14 06:15
1734153480,4,2024-12-14 05:18:00,Deep,2024-12-14 06:18
1734153540,4,2024-12-14 05:19:00,Deep,2024-12-14 06:19
1734153600,4,2024-12-14 05:20:00,Deep,2024-12-14 06:20
1734153780,3,2024-12-14 05:23:00,Light,2024-12-14 06:23
1734154020,2,2024-12-14 05:27:00,REM,2024-12-14 06:27
1734154200,2,2024-12-14 05:30:00,REM,2024-12-14 06:30
1734154680,3,2024-12-14 05:38:00,Light,2024-12-14 06:38
1734154980,3,2024-12-14 05:43:00,Light,2024-12-14 06:43
1734155400,3,2024-12-14 05:50:00,Light,2024-12-14 06:50
1734155520,3,2024-12-14 05:52:00,Light,2024-12-14 06:52
1734155640,3,2024-12-14 05:54:00,Light,2024-12-14 06:54
1734156060,4,2024-12-14 06:01:00,Deep,2024-12-14 07:01
1734156180,4,2024-12-14 06:03:00,Deep,2024-12-14 07:03
1734156540,4,2024-12-14 06:09:00,Deep,2024-12-14 07:09
1734156600,4,2024-12-14 06:10:00,Deep,2024-12-14 07:10
1734156720,4,2024-12-14 06:12:00,Deep,2024-12-14 07:12
1734156840,4,2024-12-14 06:14:00,Deep,2024-12-14 07:14
1734157020,4,2024-12-14 06:17:00,Deep,2024-12-14 07:17
1734157080,4,2024-12-14 06:18:00,Deep,2024-12-14 07:18
1734157260,4,2024-12-14 06:21:00,Deep,2024-12-14 07:21
1734157500,2,2024-12-14 06:25:00,REM,2024-12-14 07:25
1734159000,3,2024-12-14 06:50:00,Light,2024-12-14 07:50
1734159060,3,2024-12-14 06:51:00,Light,2024-12-14 07:51
1734159480,3,2024-12-14 06:58:00,Light,2024-12-14 07:58
1734159600,3,2024-12-14 07:00:00,Light,2024-12-14 08:00
1734159960,3,2024-12-14 07:06:00,Light,2024-12-14 08:06
1734160380,4,2024-12-14 07:13:00,Deep,2024-12-14 08:13
1734160440,4,2024-12-14 07:14:00,Deep,2024-12-14 08:14
1734160560,4,2024-12-14 07:16:00,Deep,2024-12-14 08:16
1734160620,4,2024-12-14 07:17:00,Deep,2024-12-14 08:17
1734160800,3,2024-12-14 07:20:00,Light,2024-12-14 08:20
1734161280,2,2024-12-14 07:28:00,REM,2024-12-14 08:28
1734161460,2,2024-12-14 07:31:00,REM,2024-12-14 08:31
1734162240,4,2024-12-14 07:44:00,Deep,2024-12-14 08:44
1734162420,4,2024-12-14 07:47:00,Deep,2024-12-14 08:47
1734162480,4,2024-12-14 07:48:00,Deep,2024-12-14 08:48
1734162600,4,2024-12-14 07:50:00,Deep,2024-12-14 08:50
1734162720,4,2024-12-14 07:52:00,Deep,2024-12-14 08:52
1734162780,4,2024-12-14 07:53:00,Deep,2024-12-14 08:53
1734162840,4,2024-12-14 07:54:00,Deep,2024-12-14 08:54
1734163020,3,2024-12-14 07:57:00,Light,2024-12-14 08:57
1734163260,5,2024-12-14 08:01:00,Awake,2024-12-14 09:01
1734164460,3,2024-12-14 08:21:00,Light,2024-12-14 09:21
1734165000,4,2024-12-14 08:30:00,Deep,2024-12-14 09:30
1734165240,4,2024-12-14 08:34:00,Deep,2024-12-14 09:34
1734165300,4,2024-12-14 08:35:00,Deep,2024-12-14 09:35
1734165360,4,2024-12-14 08:36:00,Deep,2024-12-14 09:36
1734165600,3,2024-12-14 08:40:00,Light,2024-12-14 09:40
1734166020,2,2024-12-14 08:47:00,REM,2024-12-14 09:47
1734166260,4,2024-12-14 08:51:00,Deep,2024-12-14 09:51
1734167280,4,2024-12-14 09:08:00,Deep,2024-12-14 10:08
1734167340,4,2024-12-14 09:09:00,Deep,2024-12-14 10:09
1734167460,4,2024-12-14 09:11:00,Deep,2024-12-14 10:11
1734167700,3,2024-12-14 09:15:00,Light,2024-12-14 10:15
1734167880,4,2024-12-14 09:18:00,Deep,2024-12-14 10:18
1734168180,3,2024-12-14 09:23:00,Light,2024-12-14 10:23
1734168300,4,2024-12-14 09:25:00,Deep,2024-12-14 10:25
1734168360,4,2024-12-14 09:26:00,Deep,2024-12-14 10:26
1734168420,4,2024-12-14 09:27:00,Deep,2024-12-14 10:27
1734168600,4,2024-12-14 09:30:00,Deep,2024-12-14 10:30
1734168840,2,2024-12-14 09:34:00,REM,2024-12-14 10:34
1734168960,4,2024-12-14 09:36:00,Deep,2024-12-14 10:36
1734169200,4,2024-12-14 09:40:00,Deep,2024-12-14 10:40
1734169500,4,2024-12-14 09:45:00,Deep,2024-12-14 10:45
1734169980,3,2024-12-14 09:53:00,Light,2024-12-14 10:53
1734170160,3,2024-12-14 09:56:00,Light,2024-12-14 10:56
1734171000,5,2024-12-14 10:10:00,Awake,2024-12-14 11:10
1734171240,4,2024-12-14 10:14:00,Deep,2024-12-14 11:14
1734171480,3,2024-12-14 10:18:00,Light,2024-12-14 11:18
1734171660,2,2024-12-14 10:21:00,REM,2024-12-14 11:21
1734171900,2,2024-12-14 10:25:00,REM,2024-12-14 11:25
1734172980,3,2024-12-14 10:43:00,Light,2024-12-14 11:43
